"startBP","endBP","British Isles MAP","Baltic region MAP","Rhine Danube axis MAP","Mediterranean Europe MAP"
8000,7780,0,0,0.327141725548341,0.336234665828498
7780,7560,0,0,0.41353408532316,0.284148442779362
7560,7340,0,0,0.289776114888995,0.290581156461455
7340,7120,0.128282811862451,0.305309355230501,0.272860285294756,0.283993343579774
7120,6900,0.256565623724903,0.323080565368796,0.289901567630128,0.337685092529792
6900,6680,0.384848435587354,0.301142008612052,0.401863368450774,0.373370415881056
6680,6460,0.513131247449805,0.201378873704384,0.291882881778678,0.401994200007584
6460,6240,0.641414059312257,0.221464764654189,0.354616194093009,0.539403830155399
6240,6020,0.769696871174708,0.222397004876862,0.385886233517311,0.463693231419729
6020,5800,0.771085585921787,0.336448313833579,0.304806491722922,0.388311368738976
5800,5580,0.809411330315624,0.47189590347798,0.462379749824485,0.339496229617963
5580,5360,0.786243354000963,0.532895026427406,0.30292724772623,0.351782418832955
5360,5140,0.725080047325573,0.508307688875035,0.175732634006476,0.517958009950537
5140,4920,0.686818586073432,0.487113227848766,0.14029807067901,0.536206680930072
4920,4700,0.600089668707396,0.376231467836718,0.10596870170703,0.453536134361628
4700,4480,0.68242308926785,0.311266975644326,0.105050686843719,0.39693527511036
4480,4260,0.648357310102705,0.317564548188147,0.335380091543117,0.505949748418003
4260,4040,0.585423766459623,0.295998995955243,0.416577213480477,0.400130737787436
4040,3820,0.576347954910102,0.339139670620694,0.40963501747974,0.580788570961894
3820,3600,0.642192797859408,0.395878405857572,0.262017901285513,0.584901915164787
3600,3380,0.590152211351877,0.371982359897706,0.192866836236388,0.393222429084796
3380,3160,0.534156185472058,0.396398255757534,0.222072236708512,0.424739123791115
3160,2940,0.447347170125094,0.363184895387973,0.251277637180635,0.424739123791115
2940,2720,0.419494733398551,0.373698454063286,0.499947605196058,0.424739123791115
2720,2500,0.560817382314837,0.359566203193547,0.476907599897045,0.424739123791115
