"startBP","endBP","British Isles MAP","Baltic region MAP","Rhine Danube axis MAP","Mediterranean Europe MAP"
8000,7780,0.387377993325126,0.269046089814728,0.325961959334789,0.40904489027894
7780,7560,0.374867853622332,0.290005604526653,0.376868929606118,0.479069361006575
7560,7340,0.359122530751821,0.297891989914846,0.386370537602165,0.539177494864623
7340,7120,0.339650815675697,0.340670912004919,0.586117934602927,0.5754309339594
7120,6900,0.328640407787064,0.326328138614868,0.634904967447566,0.495533323873613
6900,6680,0.325796139676088,0.384338637151362,0.567073158444552,0.431378641650032
6680,6460,0.329067757301316,0.442199088261703,0.688425761733716,0.412776700185836
6460,6240,0.352490244219514,0.555933194938925,0.644992042218511,0.457371930941849
6240,6020,0.347757248798637,0.566873435020614,0.533428275520751,0.421580361333659
6020,5800,0.453284835887263,0.695736444647563,0.506195499312804,0.430020307500401
5800,5580,0.828580632138585,0.953820370056227,0.489087934478731,0.421749807609326
5580,5360,1,0.905877569943061,0.457944457958956,0.352968095607509
5360,5140,0.599949492974439,0.662104703084126,0.412035134789388,0.340213546381157
5140,4920,0.488323344292634,0.623872220934486,0.424002049431136,0.351971148912124
4920,4700,0.51694701720032,0.72482192176572,0.494054382686507,0.512946224461329
4700,4480,0.462119072993353,0.563855688881223,0.454348793122863,0.568651843258127
4480,4260,0.558255914909769,0.427415359554524,0.543207301048636,0.65031282608804
4260,4040,0.590354422689862,0.345906921675338,0.505431590246658,0.548479363915294
4040,3820,0.683913167561477,0.318779736417613,0.504107116394359,0.629430245000807
3820,3600,0.639182758304734,0.324087329533001,0.390961717109422,0.677973949729217
3600,3380,0.651345245019013,0.28393650072047,0.43079658354433,0.664993350373321
3380,3160,0.564971896859204,0.479384986732172,0.405519598531552,0.468299119049148
3160,2940,0.27804599465904,0.380674068969943,0.314584173883604,0.346881761575148
2940,2720,0.298234865488554,0.376357998855312,0.376635554796225,0.395580593863333
2720,2500,0,0.197452720283763,0.27728089949625,0.160219193075463
