"startBP","endBP","British Isles MAP","Baltic region MAP","Rhine Danube axis MAP","Mediterranean Europe MAP"
8000,7780,0.0468937803166246,0.866642952221547,0.532712785328884,0.246733723623111
7780,7560,0.211288534524207,1,0.443780481942254,0.203798514915817
7560,7340,0.323523221613941,0.72271943606028,0.445516677848856,0.0286328093779672
7340,7120,0.0678298765604849,0.746828320028448,0.578397550188808,0
7120,6900,0,0.706597905126377,0.603547521834658,0.0583588722239231
6900,6680,0.296058672085645,0.762739425919149,0.552602212549677,0.0614388754141611
6680,6460,0.590537348884803,0.682468120406997,0.51998584360303,0.0977439969788933
6460,6240,0.448866565992465,0.455824271004064,0.67229166853012,0.216468542578879
6240,6020,0.533289929157982,0.51743361291674,0.936311584658917,0.300354548554906
6020,5800,0.286144585471039,0.467009904679113,1,0.283125138758271
5800,5580,0.177779453890544,0.611441478348709,0.996591848844799,0.273878975885985
5580,5360,0.422267957051222,0.733122035014824,0.787028810418347,0.223853466995259
5360,5140,0.676141553719663,0.601557592047617,0.687904606139292,0.210681997198615
5140,4920,0.783852546787834,0.523589133667228,0.616775789575278,0.210652555588681
4920,4700,0.765809751276138,0.440642801550893,0.627798715938561,0.284930778031488
4700,4480,0.676316468150005,0.456204385272578,0.597921032253734,0.324148718380252
4480,4260,0.51673945904225,0.336053943915007,0.398807219359303,0.308812074125649
4260,4040,0.337004705439036,0.419772801974121,0.28041079582528,0.364827634743402
4040,3820,0.270791626850849,0.522393642581096,0.175921811662742,0.293694683860252
3820,3600,0.41005530239131,0.510628259727193,0.224774126366018,0.441293957695984
3600,3380,0.598316519924099,0.594704292601885,0.289567797579188,0.276039508369803
3380,3160,0.918531380589936,0.912109492424982,0.195181702025402,0.161585217153306
3160,2940,1,0.798450645853831,0.216929361132635,0.225556017488908
2940,2720,0.890194956090264,0.500755127412372,0.204151088026299,0.568719609566967
2720,2500,0.961610475138365,0,0,1
