"startBP","endBP","British Isles MAP","Baltic region MAP","Rhine Danube axis MAP","Mediterranean Europe MAP"
8000,7780,0,0.746307826503413,0.664934454026968,0.780180989371488
7780,7560,0,0.00253096601249302,0.755552813904965,0.785928802420552
7560,7340,0,0.487530586244559,0.744400709513159,0.748076247331604
7340,7120,0,0.475399728145934,0.738608970987346,0.680650024866004
7120,6900,0.54748804538404,0.462100240469034,0.747134256081083,0.666535908150303
6900,6680,0.645492444152168,0.423780793676285,0.78651951196928,0.669190093075552
6680,6460,0.166101085973314,0.431816703251126,0.745649459777016,0.707545106937325
6460,6240,0.141234003257681,0.469762121248251,0.753124651005423,0.757160648634754
6240,6020,0.665602791578809,0.408124795685782,0.715283934719319,0.778080902668068
6020,5800,0.700298187936749,0.362685702169125,0.701854455605183,0.749740319901051
5800,5580,0.895568061137539,0.463204859528971,0.711811882282978,0.786089478067571
5580,5360,0.863453842629974,0.450749764171422,0.713300347349757,0.796684667619773
5360,5140,0.943713528809811,0.578744100083979,0.729727188125653,0.807602814441927
5140,4920,0.937769693874718,0.678325036434374,0.680241093537713,0.863930985632068
4920,4700,0.893145296967354,0.653182671001809,0.714765618880767,0.817588250423785
4700,4480,0.936746607588205,0.354934046253475,0.829243409470752,0.805986184422493
4480,4260,0.9311827113227,0.310188848371528,0.83892545667473,0.809726652589032
4260,4040,0.922467106257288,0.748046952071079,0.846993030580597,0.802882203680344
4040,3820,0.923684962531862,0.801508544547552,0.828604289301144,0.92183408119895
3820,3600,0.925538715895387,0.870229234121084,0.782297248622614,0.941217284962925
3600,3380,0.932206600524301,0.957704501316177,0.697695227445402,0.940317585861682
3380,3160,0.911286655042605,0.973684505746238,0.883386368293918,0.940317585861682
3160,2940,0.908388900606949,0.973684505746238,0.907243677016045,0.940317585861682
2940,2720,0.92868145212808,0.973684505746238,0.907243677016045,0.940317585861682
2720,2500,0.947715064460601,0.973684505746238,0.907243677016045,0.940317585861682
