"startBP","endBP","British Isles MAP","Baltic region MAP","Rhine Danube axis MAP","Mediterranean Europe MAP"
8000,7780,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
7780,7560,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
7560,7340,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
7340,7120,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
7120,6900,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
6900,6680,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
6680,6460,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
6460,6240,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
6240,6020,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
6020,5800,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
5800,5580,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
5580,5360,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
5360,5140,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
5140,4920,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
4920,4700,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
4700,4480,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
4480,4260,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
4260,4040,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
4040,3820,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
3820,3600,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
3600,3380,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
3380,3160,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
3160,2940,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
2940,2720,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
2720,2500,0.357125022623452,0.290779487704709,0.45868438486922,0.614087737511005
